name	included	major
russian folk music	0	0
russian music	0	0
russian orthodox liturgical music	0	0
russian romance	0	0
ryūkōka	0	0
sacred harp music	0	0
saeta	0	0
sahrawi music	0	0
sakha traditional music	0	0
salegy	0	0
salsa	0	0
salsa dura	0	0
salsa romántica	0	0
saluang klasik	0	0
samba	0	0
samba-canção	0	0
samba-choro	0	0
samba de breque	0	0
samba de roda	0	0
samba de terreiro	0	0
samba-enredo	0	0
samba-exaltação	0	0
samba-jazz	0	0
samba-reggae	0	0
samba-rock	0	0
samba soul	0	0
sambass	0	0
samoan music	0	0
samoyedic traditional music	0	0
sanjo	0	0
santé engagé	0	0
santería music	0	0
sarala gee	0	0
sardana	0	0
sasscore	0	0
satire	0	0
saya afroboliviana	0	0
schlager	0	0
schranz	0	0
scottish folk music	0	0
scouse house	0	0
screamo	0	0
scrumpy and western	0	0
